id,store_id,image_url,is_main
1299,54,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMDFfMjM0%2FMDAxNjA2ODMyMjgzMDYz.WLhWdy-wmV9Nvf1TbllUU-jNg4Na_1uUKSGkrwGwuoAg.z6msfUHTBIxRgJKAQT3iBwN5h90b_PrnFc2VZjm-Q2wg.JPEG.890068%2F7EC9F58F%25A3%25AD34B4%25A3%25AD4F2A%25A3%25AD9175%25A3%25ADE35508EE9C46.jpeg&type=f54_54,True
1300,55,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTAzMjVfMjkx%2FMDAxNjE2NjM4NTA1NDA4.Raf1kFzd75s7OpKeE1Gg-qoAgVnxpSN3OXZJtGElGEUg.bO0ISKeZ85eB_rOIBY8oTVhsZkjuDyQh7XXRABd8yxgg.JPEG.ju0_0park%2Foutput_3727927232.jpg&type=f54_54,True
1301,56,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjA2MTBfMjYg%2FMDAxNzgxMDE5MDMxMDE2.aiR6x9pAQha4N5-_8Dl_EuLutXzXs3uz0s_M_wOUzUUg.xVzP6_qwZMdsumWFHPiLunTMxyQrXJrElAnXb-hwpE0g.JPEG%2Fphoto_2026-06-10_00-13-49.jpg&type=a340,True
1302,57,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA2MjVfMjU2%2FMDAxNzUwODYxMjU2MzYz.FaNN5ouB3KANSLX-g_BemqwDRjkm1LH-51lcWdqLXSMg.fQ3OOOHG5My7IA64dPNTBcNE3FzZOSOE42KXWvncxD8g.JPEG%2F900%25A3%25DF20250622%25A3%25DF170242.jpg&type=f54_54,True
1303,58,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MDZfMTQz%2FMDAxNTM2MjQ1OTczMjEw.ZK6Fcmy8nDlTGaFlFZCbfgMdmbH9hAascmg8B9yNO_kg.aJb2bxt54zO7tHrgFF6SmMU-S_3apV_LxlN4rRT3X2Ug.JPEG.qngkaos%2FKakaoTalk_Moim_7d3Hzw6cm0eyM76aNsBEt9eIflYJhv.jpg&type=a340,True
1304,59,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA3MjhfMjYg%2FMDAxNjkwNDc2OTE1ODQx.AABWH5Eq7YaBYWJeVlz1S0Kq1lrptF9PUwhtaCQlEvog.qcpytd-tOSfc73DNuRg8kZOqfWQinzTP__aL_0oSAjUg.JPEG.sjikmh%2F20230727%25A3%25DF195746.jpg&type=f54_54,True
1305,60,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA2MTZfOTgg%2FMDAxNzUwMDQ2NjA0MDA4.W5BcASS1etqnspY923GYdJj7Xg4lqaoqHxTXIXILAHYg.TrbOi7nwGS__6HwiJwpuDB3ewUePX3PA_quAeCWAxK4g.JPEG%2F900%25A3%25DF20250614%25A3%25DF185457.jpg&type=a340,True
1306,61,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA2MjlfMSAg%2FMDAxNzE5NjU5NzczNjU2.Kg27bSb8SHzBv_Pzn-pLtv-W-ZHTvII1ltBGzU6A17Ag.TrCv3mCsiJSikZc1Fm8PzxHhqy2einvjz1Nrcf2BQkAg.JPEG%2FKakaoTalk_20240629_184642378_11.jpg&type=f54_54,True
1307,62,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA2MTFfMTUg%2FMDAxNzQ5NTcwNDM5MDY5.VBXPNLrZ133V2Vm2PDAnmb2ogCs4itW6WQ9O_4l9X6Ag.vdHtxmi_aWps1sXYE7TOdea3kF02uVqK82S9bIsgSYQg.JPEG%2FIMG%25A3%25DF5517.jpg&type=f54_54,True
1308,63,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260126_291%2F1769353337909gRMFH_JPEG%2FIMG_4644.jpeg&type=a340,True
