id,name,category,distance,detail_url
84,캠프 바베큐 치킨,치킨,,
85,다다우동 대연본점,한식,,
86,파스쿠찌 부산경성대점,카페,,
87,국제통닭 남천점,치킨,,
88,면식당 부경대점,일식,,
89,만원족발&만원육회 대연점,한식,,
90,임실치즈쌀피자,피자,,
91,멕시칸용호점,치킨,,
92,한솥도시락 부경대점,맛집,431.0,
93,빌라 드 엘르,카페,,
94,수양숯불갈비,한식,,
95,다온스시&덮밥,일식,,
96,맛있는 보쌈도시락,한식,,
97,써브웨이 부산부경대점,치킨,,
98,덩굴아나고,해산물,,
99,상무초밥 광안리점,일식,,
100,TMT피자 부산대연점,피자,451.0,
101,봉다리 숯불치킨,치킨,,
102,세카이,일식,,
103,지구보드게임카페,카페,524.0,
104,동화대반점,중식,,
105,용이네주방부경대점,중식,,
106,구월의마카롱,카페,,
107,식복 돼지국밥,한식,,
108,광안야행,한식,,
109,서울깍두기 대연본점,한식,,
110,다은이김밥,분식,,
111,맛있는 김치찜&김치찌개,한식,,
112,이디야커피 부산남천동점,카페,737.0,
113,냥냥키친,분식,402.0,
114,아름다운사주카페,카페,564.0,
115,담가화로구이 대연점,한식,,
116,더락이스케이프 경성대점,카페,507.0,
117,킹스피자 남구점,피자,,
118,위너스커피 경성대부경대점,카페,613.0,
119,고봉김밥 대남점,분식,,
120,소각 대연점,한식,,
121,콜롬보가든 남천본점,한식,,
122,더맛,고기,538.0,
123,완벌집,고기,496.0,
124,감성가든,카페,498.0,
125,보배반점 대연점,중식,,
126,돈돈카츠 대연점,일식,498.0,
127,냉삼회관 부산대연점,한식,,
128,신떡 경성대점,분식,429.0,
129,골목끝에서울집,한식,,
130,보글보글,한식,,
131,동화집,일식,,
132,부막숯불닭갈비 대연점,한식,,
133,국제시장국밥대연점,한식,,
134,마을회관,한식,518.0,
135,오빠다방,카페,396.0,
136,천탁 경성부경대3호점,맛집,491.0,
137,도련님숯불갈비 경성대본점,한식,,
138,만화카페 허니툰,카페,493.0,
139,몽자원,중식,538.0,
140,돈나무집,한식,,
141,속시원한 명물 부산물회,해산물,,
142,모어샌드위치 광안남천점,햄버거,,
143,웨이드,카페,,
144,사랑각 부산경성대점,한식,,
145,소담곳,한식,,
146,감삼집 부산 경성대본점,한식,,
147,처갓집양념치킨 용호점,치킨,,
148,슈바인학센과 미니족발,한식,,
149,애플꼬마김밥 남천점,분식,,
150,포츈팩토리 2호점,카페,499.0,
151,대연생삼겹,한식,,
152,대연중국관,중식,486.0,
153,경수초장집,해산물,,
154,국제닭강정 경성대부경대점,치킨,363.0,
155,꼬목살 남천점,한식,,
156,타블도트 부산W스퀘어점,양식,,
157,예반,일식,,
158,스윗제리,카페,464.0,
159,"큰집돼지국밥,뼈다귀해장국",한식,,
160,해안숯불갈비 광안리 본점,한식,,
161,마라순코우마라탕 대연점,중식,427.0,
162,제일칼국수 남천점,한식,,
163,KFC 경성대부경대,햄버거,,
164,엘브리또 경성대점,양식,,
165,파자마 광안점,양식,,
166,대연동싸다구피자,피자,,
167,캐스크앤뀌베 용호점,양식,,
168,칠성반점,중식,,
169,맥도날드 경성대점,햄버거,,
170,노랑통닭 대연점,치킨,,
171,닭한판바베큐,한식,,
172,코브라독스 부산대연역점,분식,,
173,타래퀸 경성대점,카페,560.0,
174,이삭토스트 LG메트로시티점,분식,,
175,히노아지 경성대점,일식,,
176,퍼니비어 경성대점,맛집,443.0,
177,명륜진사갈비 부산대연점,한식,,
178,황령산보쌈,한식,,
179,그라찌에 부경대행복기숙사점,카페,329.0,
180,푸드파라다이스,맛집,,
181,오크레페 경성대점,카페,,
182,MOZART 수제함박스테이크&돈까스,일식,,
183,대연반점,중식,486.0,
184,마루포차,맛집,524.0,
185,미친피자 남구점,피자,,
186,남천육회상회,한식,,
187,베트남쌀국수,맛집,454.0,
188,몽벨쉘터 경성대부경대점,맛집,,
189,환영생오리,한식,,
190,모퉁이,분식,338.0,
191,롯데리아용호점,햄버거,,
192,신이내린닭발,고기,324.0,
193,남천돈,한식,,
194,장호가양꼬치 경성부경대직영점,중식,,
195,돈카츠 정,일식,,
196,땡초우동 대연혁신지구점,일식,,
197,7번가피자 대연점,피자,,
198,레드버튼 경성대점,카페,600.0,
199,문현곱창,고기,,
200,전남친순대 못골시장점,분식,,
201,합천양곱창,고기,,
202,광안리 달팽이,일식,,
203,은화수식당 경성대점,일식,342.0,
204,오일리 경성대본점,양식,378.0,
205,쌈마이 닭쌈밥 대연점,한식,,
206,연어의진심 연심 대연점,일식,,
207,카츠야,일식,,
208,우연족발 대연동본점,한식,,
209,우나요시 본점,일식,,
210,양산박,한식,,
211,오도우 본점,맛집,,
212,후라이드참잘하는집 대연점,맛집,,
213,역전할머니맥주 부산경성부경대점,양식,,
214,퀸즈 필라프 대연점,햄버거,,
215,쌍둥이돼지국밥 대연점,한식,,
216,피자베이 남구수영점,피자,339.0,
217,18번완당,분식,,
218,첸,중식,,
219,영칼로리포케&샐러드 부산경성대부경대점,양식,,
220,미국할매 대연본점,맛집,,
221,소일창 남천점,고기,,
222,파이널나인 부산경성대점,맛집,512.0,
223,타코형 타코야끼전문점 대연점,햄버거,,
224,시장통칼국수,한식,,
225,우시,일식,,
226,인스타크랩,해산물,,
227,롤뺑드빠리,카페,,
228,파비안느플라워카페 부경대본점,카페,505.0,
229,남천 모소리,고기,,
230,피자헛 부산대연점,피자,,
231,차영호,한식,,
232,아키나,일식,,
233,교촌치킨 대연2호점,치킨,483.0,
234,밥잘하는남자,한식,318.0,
235,향토집굴국밥,해산물,490.0,
236,오츠 경성대부경대점,일식,,
237,까치솥뚜껑닭도리 대연점,한식,,
238,맘스터치 부경대점,양식,,
239,카페이정원,카페,318.0,
240,요기,카페,332.0,
241,자담치킨 부산용호점,치킨,,
242,뚠뚠이 생안심탕수육,중식,,
243,스타벅스 부산유엔공원점,카페,877.0,
244,을지로골뱅이,맛집,508.0,
245,대찬 두 마리 파닭,치킨,,
246,정양곱창,고기,,
247,수연어 본점,해산물,,
248,만타스시31 용호점,일식,,
249,하이와플,맛집,364.0,
250,반올림피자 부산남구점,피자,498.0,
251,묵찌빠,맛집,473.0,
252,샤브보트 부경대점,맛집,360.0,
253,영남식육식당 남천본점,한식,,
254,한우공판장 본점,고기,,
255,무궁화,한식,,
256,비돈이제돈이 대연점,한식,,
257,THE순대,한식,,
258,자연메기탕.추어탕,일식,,
259,금수돼지국밥 경성부경대점,한식,,
260,먹돌이식당,한식,488.0,
261,두잇 카페테리아,카페,,
262,투썸플레이스 부산대남점,카페,645.0,
263,파니니숲 부경대,양식,,
264,춘리마라탕 경성대점,중식,,
265,영진돼지국밥,한식,,
266,대구반야월막창 부경대점,고기,506.0,
267,청기와식당,한식,,
268,만만닭강정 경성대점,치킨,527.0,
269,치즈앤포테이토,분식,,
270,1978 상하이짬뽕 대연점,중식,,
271,758burger,햄버거,,
272,1953형제돼지국밥 광안리점,한식,,
273,마일로 남천점,카페,708.0,
274,본죽&비빔밥cafe 부산부경대경성대점,한식,427.0,
275,666버거 대연점,햄버거,,
276,호야 이자까야,일식,,
277,부산오복당 이기대본점,한식,,
278,파니니숲,카페,550.0,
279,푸주인 대연역점,한식,,
280,아마스빈 경성대점,카페,,
281,갓생맥주 본점,맛집,522.0,
282,바당 전복죽,해산물,,
283,모넬로키즈카페 대연점,카페,629.0,
284,육식사관학교 부산대연점,한식,,
285,장수치킨맥주 경성대점,치킨,,
286,어가 가이텐스시 남천점,일식,,
287,카레대왕돈까스킹,일식,,
288,반대가리,중식,,
289,고려통닭 부산용당점,치킨,,
290,김밥담다,분식,,
291,골목전집,한식,510.0,
292,아일라케밥,양식,,
293,감삼집,한식,468.0,
294,소소해담,카페,576.0,
295,샤브로21 부경대,맛집,,
296,태연옥,한식,,
297,솔티라이엇 경성대부경대점,카페,560.0,
298,굽네치킨 용호메트로점,치킨,,
299,달곰하다,카페,501.0,
300,신재떡볶이앤불오뎅,분식,,
301,달달상점,카페,575.0,
302,지코바치킨 남천1호점,치킨,,
303,곁집,한식,342.0,
304,우리엄마충무김밥,분식,,
305,장수맛족발,한식,,
306,마지,한식,,
307,우리집,한식,,
308,캠프어스,고기,,
309,커피로만,카페,364.0,
310,텐짱,일식,,
311,그릭하다 본점,카페,508.0,
312,홍소족발,한식,,
313,후발대 대연점,한식,,
314,삼부자황제갈비살,한식,,
315,징기스 대연점,중식,,
316,궁중해물탕 조씨집 대연본점,한식,,
317,카츠미치,일식,,
318,피자1번가 대연동성하이타운점,피자,,
319,맥도날드 부산남천DT점,햄버거,,
320,직감,맛집,437.0,
321,나지미,일식,,
322,이자카야 우규 경성대점,일식,,
323,북경양꼬치 남천점,중식,,
324,카페인중독 대연점,카페,,
325,고인돌족발,한식,,
326,임사부돈카츠하나만파는집 대연점,일식,,
327,음,양식,324.0,
328,케이찹사라다 경성부경대점,카페,,
329,가마치통닭 부산용호점,치킨,,
330,쑝쑝돈까스 부산대연점,일식,,
331,라이옥 베트남 쌀국수 본점,한식,,
332,닥엔돈스 부산대연점,맛집,,
333,DK 동키치킨 부산대연점,치킨,,
334,사랑빵,맛집,,
335,왈츠,양식,,
336,본가치킨,치킨,,
337,라미바,맛집,543.0,
338,오버베이글,맛집,369.0,
339,곱창119 경성대부경대점,고기,,
340,만복국수,한식,,
341,케이찹사라다 용호점,분식,,
342,커피볶는 시골커피 남천점,카페,705.0,
343,남썬 치킨 대연점,치킨,,
344,바로덮밥 대연점,일식,,
345,BBQ치킨 부산부경대점,치킨,,
346,오늘다믄,카페,454.0,
347,꼬꼬네두마리치킨 부경대점,치킨,584.0,
348,우동키노야 광안점,일식,,
349,당감댁 경성대&부경대점,한식,,
350,꽉꽉피자 대연점,피자,,
351,그라츠커피랩 경성대점,카페,,
352,BBQ치킨 용호메트로점,치킨,,
353,허브앤솔 부산대연점,치킨,502.0,
354,대연소담한 제주대패삼겹살,한식,,
355,세이고우,일식,,
356,구르메,양식,,
357,남천정원식당,한식,,
358,금문초밥,일식,,
359,타코 사운즈 클럽,양식,,
360,모먼트케이크,맛집,438.0,
361,메가혼밥 부산대연점,한식,,
362,부리부리브리또 부경대점,양식,338.0,
363,샤브20 부산광안리점,한식,,
364,맥도날드 부산동명대DT점,햄버거,,
365,겐야돈부리&스시,일식,452.0,
366,대패파,한식,,
367,진깡사마,해산물,,
368,부갈집,한식,,
369,2피자1치킨상회 부산남구점,피자,,
370,미식가의구이&샤브 대연직영점,한식,,
371,더벤티 경성대부경대점,카페,583.0,
372,르몽드트레비어,피자,,
373,울엄마 김치찜 갈비찜,한식,,
374,아케스시,일식,,
375,하단끝집 경성대부경대점,일식,,
376,널,양식,324.0,
377,노가다,맛집,481.0,
378,미야미야 회 포차,해산물,,
379,꾸꾸삼겹 대연직영점,한식,,
380,우마이크레페,카페,,
381,바사케 본점,일식,,
382,오지테이블 남천점,양식,,
383,왕초장,한식,,
384,빙수당 부경대점 부경대점,카페,407.0,
385,고기달인,한식,,
386,1953 형제돼지국밥,한식,536.0,
387,삼환축산 대연점,한식,,
388,돈카츠 유마,일식,448.0,
389,텐퍼센트커피 경성대부경대점,카페,479.0,
390,냉정포차3 부경대점,맛집,424.0,
391,혼샤브 대연점,한식,,
392,소수,일식,511.0,
393,하늘소불고기 대연본점,한식,,
394,파리바게뜨 대연자이점,맛집,633.0,
395,또래오래 대연점,치킨,724.0,
396,거인통닭,치킨,,
397,카츠안 경성대부경대점,일식,,
398,백양숯불갈비 대연사거리 직영점,한식,,
399,육연탕,맛집,373.0,
400,돈카츠정,일식,348.0,
401,달빛에구운고등어 부산대연점,한식,,
402,고덕사,한식,,
403,남원,한식,,
404,오복갈비,한식,,
405,한국맥도날드경성대점,햄버거,,
406,블루샥 부산부경대점,카페,501.0,
407,4도C냉면 & 우동,한식,,
408,도미노피자 용호남천점,피자,,
409,홍익돈까스 부산대연점,일식,,
410,빙수당 부경대점,카페,,
411,THE 김치찌개,한식,,
412,또근이찜닭 남천점,한식,,
413,대박횟집 1인회 전문,일식,,
414,지금은 아구찜 대연점,한식,,
415,신센 본점,일식,,
416,7곡제면소 경성대점,한식,,
417,홀릭,카페,457.0,
418,청담족발앤국밥,한식,,
419,호호정,중식,544.0,
420,OL55,피자,428.0,
421,치톡스,치킨,481.0,
422,홈스토리 카푸치노카페,카페,485.0,
423,마노 경성대점,맛집,458.0,
424,카돈카돈,일식,,
425,다락방,카페,595.0,
426,풍년곱창,고기,,
427,고기대학,고기,,
428,라일락식당,한식,285.0,
429,더벤티 경성대건학기념관점,카페,,
430,동대문엽기떡볶이 부산경성대점,분식,,
431,스위시 대연써밋점,해산물,,
432,버거잇 Burgereat,햄버거,414.0,
433,한우소머리국밥,한식,,
434,동네포차주민 경성대점,한식,,
435,꾸브라꼬 숯불두마리치킨 대연점,치킨,,
436,천탁 본점,한식,,
437,믕,카페,528.0,
438,통통연어,일식,,
439,웨이드바,맛집,373.0,
440,금별맥주 경성대부경대점,맛집,458.0,
441,메가MGC커피 부산부경대쪽문점,카페,383.0,
442,떴다파닭 경성대점,치킨,,
443,작품하나,카페,512.0,
444,이기대토스트,분식,,
445,카페토모,카페,788.0,
446,박가부대 부산경성대점,한식,,
447,뎅기피버,맛집,518.0,
448,굽네치킨 대연2호점,피자,,
449,꽃돼지,한식,,
450,몬스터치즈랩 용호점,피자,,
451,설빙 부산경성대점,카페,546.0,
452,온기한잔,양식,,
453,해운대논골집,한식,,
454,족스토리,한식,,
570,하우스커피,카페,459.0,
455,버거킹 부산경성대점,햄버거,,
456,오크피자,피자,,
457,거창맷돌순두부,한식,615.0,
458,가마치통닭 남천점,치킨,,
459,올바로갈비 경성대부경대점,한식,,
460,호르몬치치 부산대연점,한식,,
461,폰가게떡볶이,분식,,
462,호마루떡볶이 대연점,분식,,
463,가온카츠,일식,,
464,김소남연탄쪽갈비,한식,,
465,진곰탕진해장,한식,,
466,요거스빈 부경대본점,카페,316.0,
467,메츠과자점 본점,카페,,
468,라미랑드,카페,551.0,
469,댄싱컵 경성대점,카페,599.0,
470,피자알볼로 부산대연점,피자,,
471,교촌치킨 대연3호점,치킨,,
472,맘스터치 남천점,양식,,
473,못골브레드,카페,,
474,대남 포장집,한식,,
475,치한당 경성대부경대점,일식,,
476,옥돈까츠,일식,,
477,하삼동커피 부경대점,카페,434.0,
478,프랭크버거 부산부경대점,햄버거,,
479,모야시 철판돈까스 & 대만 마제소바 대연점,일식,,
480,제대로한끼,일식,,
481,고베규카츠 광안점,일식,,
482,원조서면소갈비살 경성대부경대점,한식,,
483,장생포고래등,한식,,
484,오이시,한식,508.0,
485,다이도코로 광안리본점,일식,,
486,니가찾던돈까스,일식,,
487,메이드어맛,한식,,
488,오니쿠,일식,,
489,아빠횟집,해산물,,
490,그린클라우드 대연점,카페,,
491,쉘박스 대연점,양식,,
492,탕슈탕슈,중식,,
493,스윗앤샷 부경대점,카페,327.0,
494,던킨 경성대부경대역사점,카페,,
495,푸드마스터j & 달빛감자남천점,양식,,
496,큰집뼈다귀해장국 돼지국밥,한식,479.0,
497,킨키,일식,,
498,윌로버케이크,맛집,395.0,
499,고궁삼계탕,한식,,
500,맘스터치 용호자이점,햄버거,,
501,남천할매집,한식,,
502,떴다파닭,치킨,494.0,
503,안동찜닭,한식,,
504,채선당 샤브보트 부경대점,한식,,
505,부산곰탕 대연점,한식,574.0,
506,중남해,중식,440.0,
507,시락국밥 시골집,한식,,
508,전남친순대 용호점,분식,,
509,슈퍼크리스피 부산대연점,맛집,380.0,
510,라화공방 부산대연점,중식,,
511,부산남양토담오리,한식,,
512,시장을여는사람들 경성대부경대점,한식,,
513,농부꼬마김밥 본점,분식,,
514,노랑통닭 동명대평화공원점,치킨,,
515,카레담따,일식,,
516,홍홍카츠 본점,일식,,
517,황금대패,한식,,
518,비긴에스프레소,카페,452.0,
519,그집짬뽕0927 대연점,중식,,
520,빌라드키친,양식,,
521,다옴,한식,,
522,화화돼지왕갈비 부산대연점,고기,,
523,롯데리아 부산대연점,햄버거,,
524,가연장미역국 정찬광안점,한식,,
525,청송양곱창,고기,,
526,마마도마,일식,,
527,알천순대곱창전골전문점,한식,,
528,진주돼지국밥,한식,,
529,소머리곰탕선지국밥,한식,,
530,폴 바셋 부산 대연 DT점,카페,,
531,잭슨피자 광안리점,피자,,
532,이학수 한옥집김치찜 본점,한식,,
533,로피,카페,,
534,피자파파,피자,,
535,거래처,한식,,
536,맥도날드 부산황령DT점,햄버거,,
537,카페051 부경대학교점,카페,309.0,
538,낙원조개오리,한식,,
539,포포스탠드,일식,,
540,블랑드블랑,카페,,
541,로더,카페,390.0,
542,오디오디,카페,448.0,
543,대봉찜닭,한식,,
544,플러스84 부산대연점,한식,,
545,다다키친,한식,419.0,
546,지니프레쉬 대연점,맛집,,
547,발해,한식,,
548,북카페 반월 부경대경성대점,카페,,
549,전남친순대 남천점,분식,,
550,텐달러 스테이크 앤 파스타,양식,,
551,블루샥 더비치푸르지오점,카페,592.0,
552,일미분식,분식,,
553,동동국밥 경성대점,한식,,
554,코이요스시,일식,,
555,엄마손 닭도리탕,한식,,
556,경성고기,분식,,
557,언양불고기통닭,치킨,,
558,젊은이의양지 경성대점,카페,565.0,
559,화락짬뽕,중식,,
560,가마치통닭 경성대점,치킨,,
561,611WoodFire,양식,,
562,쌈마이닭쌈밥 대연점,고기,330.0,
563,안동한우갈비,한식,,
564,우삼면,한식,431.0,
565,공감,한식,,
566,OL'55,양식,,
567,통큰한우,맛집,,
568,삼굽살 경성대점,고기,493.0,
569,자담치킨 부산대연점,치킨,,
571,빈스다이닝,한식,,
572,닭발먹은새우 직영본점,치킨,,
573,수미식당,한식,451.0,
574,꼬망무인키즈카페,카페,500.0,
575,뽀글뽀글김치나라,한식,,
576,타코비 경성대점,일식,,
577,오오키니,일식,,
578,백양숯불갈비 본점,한식,,
579,더크로와상,맛집,283.0,
580,노랑통닭 대연성당점,치킨,,
581,구백냥곱창,고기,,
582,용한우 남천점,한식,,
583,숯불애,고기,,
584,강인아구찜,해산물,,
585,가마치통닭 부산메트로자이점,치킨,,
586,박성환돈까스 남천점,일식,,
587,막창홀릭,고기,,
588,모란주방,한식,454.0,
589,푸주인 경성대점,고기,,
590,우리영양탕삼계탕,한식,,
591,고기굽는남자 광안리점,한식,,
592,진상 W스퀘어점,한식,,
593,김씨화덕 W스퀘어점,피자,,
594,요달의찜닭&내가닭도리탕이다 용호점,한식,,
595,부산곰탕,한식,572.0,
596,도로시파스타 연정,양식,,
597,다이닝센 부산본점,양식,,
598,필롱,카페,378.0,
599,해시 대연점,한식,,
600,수심,일식,504.0,
601,이조갈비,한식,,
602,고봉민김밥인 부산남천점,분식,,
603,구디,카페,,
604,잘돼지참숯갈비 남천점,한식,,
605,60계치킨 부산광안점,치킨,,
606,쾩 경성대점,양식,,
607,대연 참숯불구이,한식,,
608,아홉달,카페,574.0,
609,네오피자 남구점,피자,,
610,금강반점,중식,510.0,
611,밀라노베이커리,카페,,
612,갱갱덮밥 경성대부경대점,일식,448.0,
613,연어바치,일식,,
614,텐퍼센트커피 대연자이점,카페,591.0,
615,노는바다,한식,,
616,타보로,카페,210.0,
617,기영이 숯불두마리치킨 부산대연점,치킨,,
618,다케다야,일식,,
619,동욱 참치,일식,,
620,스윗파이,카페,,
621,알로하오노,양식,,
622,맘스피자 부산경성대점,피자,,
623,매킴부산돼지국밥,한식,,
624,처갓집양념치킨 경성부경대점,치킨,532.0,
625,픽미픽미아이스 경성대점,맛집,496.0,
626,야식한 밤에 치떡,치킨,,
627,호세야오리바베큐 남구점,한식,,
628,미친피자 부산남구점,피자,537.0,
629,미츠바,일식,,
630,이우철 한방누룽지 삼계탕 대연점,한식,,
631,청년피자 부산남구점,피자,,
632,맘스터치 경성대점,양식,,
633,하이스트 광안하운드점,피자,,
634,유일한식탁,일식,,
635,대연모소리,한식,,
636,봉수아피자 부산남구1호점,피자,317.0,
637,명빈충무김밥 대연점,분식,,
638,피오름피자 부산남구점,피자,,
639,만만닭강정 본점,치킨,,
640,타코짱 수영점,햄버거,,
641,신전떡볶이 대연점,분식,,
642,홍곳간 남천본점,한식,,
643,유가네닭갈비 대연점,고기,,
644,오꾸닭 대연점,치킨,,
645,미까뚜까,맛집,,
646,부산돼지국밥,한식,,
647,솔탭하우스,피자,,
648,이쯔모 창코나베전문점,일식,,
649,역시한우,한식,,
650,무진장,한식,489.0,
651,W 옵스 드마히니,카페,,
652,화덕훈제오리&통삼겹&호랑이갈비찜 남천점,한식,,
653,틈새라면 부경대점,분식,367.0,
654,써브웨이 경성대점,햄버거,,
655,참새주막,한식,,
656,우연 초신선 한우육회와 최상급 딥스킨연어,일식,,
657,히스피 대연점,카페,,
658,빽보이피자 부산대연점,피자,,
659,처갓집양념치킨 대연점,치킨,,
660,찐숯불치킨,치킨,,
661,스시투어 경성대점,일식,,
662,집밥,한식,522.0,
663,경성맨숀,맛집,464.0,
664,초힛사츠,일식,,
665,본스치킨 광안리점,치킨,,
666,하나돈까스 남천점,일식,,
667,맛있는순두부&amp;김치찜 경성대점,한식,,
668,오빠막창 남구점,고기,,
669,코코노카,일식,330.0,
670,미진축산 대연점,한식,,
671,하도 이자카야,일식,,
672,마라섬 경성대부경대점,중식,,
673,우보옥,한식,,
674,두남자이야기,한식,,
675,대연오뎅,분식,,
676,피자덕 대연점,피자,,
677,쌀통닭 대연혁신점,치킨,,
678,포섬 동명대학교점,분식,,
679,압구정김밥 남천점,분식,,
680,달봉이떡볶이,분식,,
681,삼국 남천본점,일식,,
682,웅장상회 광안리점,고기,,
683,캔 엄마식당,맛집,363.0,
684,남썬 치킨 W스퀘어점,치킨,,
685,애착,맛집,437.0,
686,남송,한식,,
687,샤브올 경성대점,한식,,
688,크라운닭발 대연동점,치킨,,
689,BBQ치킨 부산경성대점,치킨,,
690,BHC치킨 부산대연점,치킨,,
691,사천훠궈양꼬치,중식,504.0,
692,먹음직뼈감자탕 대연점,한식,,
693,헤이플롯,카페,,
694,엄나무녹두삼계탕,한식,,
695,버텍스 경성대부경대점,맛집,335.0,
696,로스구이집,고기,,
697,빡벳 부경대점,카페,356.0,
698,스몰굿커피 부경대점,카페,427.0,
699,양화옥,중식,,
700,달봉이네분식,분식,,
701,파우제독,카페,534.0,
702,2인분 봉지국밥,한식,,
703,아보갤러리,카페,454.0,
704,치킨과요리의 만남 대연점,치킨,,
705,돌돌집,한식,,
706,1970 신포할매 쫄면과돈까스 대연점,일식,,
707,씨네마맥주 부산 수영구청점,양식,,
708,무무 피자,카페,,
709,허브앤솔,치킨,,
710,그레이핍플 경성대점,카페,,
711,남천동 한우야,고기,,
712,계양깐,고기,,
713,대운 남천동본점,일식,,
714,25센치꼬치앤오뎅바 경성대점,분식,,
715,이층집 코코로 본점,일식,,
716,치킨팩토리,치킨,,
717,구도로통닭 부산경성대점,치킨,,
718,드리아데버거&커피동명점,햄버거,,
719,카츠키친 대연점,일식,,
720,불로만숯불바베큐 대연1호점,치킨,,
721,족족한날 족발.보쌈,한식,,
722,버거킹 부산용호분포SK점,햄버거,,
723,엉터리 무한대패 대연점,한식,,
724,흑산도횟집,해산물,,
725,모이커피샵,카페,530.0,
726,남천참숯갈비,한식,,
727,그라치아,카페,568.0,
728,맛있는인생,해산물,,
729,남천동 연어회,일식,,
730,갈비짬뽕엔탕수육,중식,,
731,요이참치대연점,일식,,
732,투썸플레이스 부산경성대역점,카페,,
733,사이노 1호점,한식,371.0,
734,이디야커피 부산부경대점,카페,455.0,
735,치토피아,치킨,,
736,김가네 대연파크푸르지오점,분식,,
737,용소식당 경성대 대연동점,양식,,
738,식당3선 용호점,한식,,
739,미정아구찜,해산물,,
740,카레온 부산 경성대본점,일식,,
741,면식당 부산부경대점,일식,319.0,
742,천탁 부경대점,맛집,330.0,
743,느엉98,한식,,
744,이디야커피 부산부경대후문점,카페,675.0,
745,빽다방 부산부경대점,카페,356.0,
746,탱크돈까스,일식,,
747,와플대학 부산경성대캠퍼스,카페,,
748,이솔산오리,고기,649.0,
749,758버거,햄버거,374.0,
750,곱창동자,고기,,
751,지코바치킨 대연1호점,치킨,,
752,동경밥상 본점,일식,,
753,써브웨이 부산대연점,치킨,,
754,그레이핍플 부경대점,카페,,
755,용호대패,한식,,
756,신촌깻잎떡볶이 광안점,분식,,
757,파닭일번지,치킨,,
758,수라국밥 경성대점,한식,,
759,충남집,한식,,
760,칸티푸르,일식,,
761,국제닭강정&새우강정 경성대부경대점,치킨,,
762,에그드랍 부산부경대점,맛집,382.0,
763,아웃닭 경성대점,치킨,,
764,KFC 광안리,햄버거,,
765,지교,중식,452.0,
766,못,한식,,
767,평화김해뒷고기 경성대부경대점,고기,,
768,재즈프레소,양식,,
769,밀머리칼국수냉면쟁이 대연점,한식,476.0,
770,길 세이로무시 대연점,고기,,
771,아트마네,카페,,
