name,category,star_rating,visitor_reviews,blog_reviews,address
아부라클럽,음식점,별점 없음,218,0,부산 남구 용소로 26 1층
미야미야 회 포차,음식점,4.88,360,0,부산 남구 수영로266번길 65 1층 미야미야포차
라이옥 베트남 쌀국수 본점,음식점,4.57,"2,264",0,부산 남구 용소로7번길 76
구월의마카롱,음식점,별점 없음,"1,079",0,부산 남구 수영로334번길 9
파리바게뜨 경성대점,음식점,별점 없음,"4,799",0,부산 남구 용소로 6
숯불애,음식점,4.78,"2,617",0,부산 남구 수영로346번길 20
신사우물갈비 대연점,음식점,4.92,"6,346",0,부산 남구 용소로7번길 83
맥도날드 경성대점,음식점,4.59,"5,470",0,부산 남구 수영로 304 대승타워
연어바치,음식점,별점 없음,"1,139",0,부산 남구 용소로21번길 71 1층 연어바치
빌라 드 엘르,음식점,별점 없음,"1,061",0,부산 남구 수영로 334 지하 1층 빌라 드 엘르
아웃닭 경성대점,음식점,별점 없음,"1,646",0,부산 남구 용소로19번길 6 1층
피자베이 남구수영점,음식점,별점 없음,162,0,부산 남구 용소로21번길 37 1층
감삼집 부산 경성대본점,음식점,4.9,"1,495",0,부산 남구 수영로322번길 33 2층
춘리마라탕 경성대점,음식점,별점 없음,"4,855",0,부산 남구 용소로 11 2층
고기달인,음식점,4.72,861,0,부산 남구 용소로7번길 81 1층
시장을여는사람들 경성대부경대점,음식점,별점 없음,984,0,부산 남구 용소로13번길 26
믕,음식점,별점 없음,994,0,부산 남구 용소로40번길 19 2층
역시한우,음식점,4.91,368,0,부산 남구 용소로13번길 81 1층
카페위드,음식점,별점 없음,715,0,부산 남구 용소로19번길 15 대정빌딩 2층
포비베이크샵,음식점,별점 없음,258,0,부산 남구 수영로366번길 16-6 1층
동동국밥 경성대점,음식점,4.85,603,0,부산 남구 용소로7번길 45 1층 102호
Poke all day 포케&샐러드 경성대부경대점,음식점,별점 없음,"1,506",0,부산 남구 용소로 13
아슬케밥,음식점,별점 없음,91,0,부산 남구 용소로28번길 10
이층집 코코로 본점,음식점,4.58,378,0,부산 남구 수영로322번길 18 2층
롯데리아 부산경성대점,음식점,별점 없음,"2,315",0,부산 남구 수영로 300 VISION PLAZA
할리스 부산경성대점,음식점,4.57,"1,305",0,부산 남구 용소로 7 청라빌딩
비스트로정재집,음식점,별점 없음,"1,112",0,부산 남구 용소로21번길 109 1층
그린클라우드 대연점,음식점,별점 없음,723,0,부산 남구 용소로 18-2 그린클라우드 대연점
돈나무집,음식점,4.95,79,0,부산 남구 용소로7번길 53-1 (대연동) 돈나무집
동대문엽기떡볶이 부산경성대점,음식점,별점 없음,470,0,부산 남구 용소로14번길 14 2층
미분당 대연점,음식점,4.91,"1,126",0,부산 남구 용소로19번길 34 1층 101호
백양숯불갈비 본점,음식점,별점 없음,347,0,부산 남구 수영로358번길 21 1층
면식당 부경대점,음식점,별점 없음,"3,211",0,부산 남구 용소로21번길 66 1층
사랑각 부산경성대점,음식점,별점 없음,"1,085",0,부산 남구 용소로13번길 10 1층
애착,음식점,4.92,"1,384",0,부산 남구 용소로19번길 22 1층 101호
떡 뽑는 집 범앗간 대연본점,음식점,별점 없음,969,0,부산 남구 용소로 10 1층
보배반점 대연점,음식점,별점 없음,"1,288",0,부산 남구 수영로298번길 10 1층 일부호(대연동)
"큰집돼지국밥,뼈다귀해장국",음식점,별점 없음,"1,099",0,"부산 남구 수영로266번길 132 (대연동) 큰집돼지국밥,뼈다귀해장국"
도미노피자 용호남천점,음식점,4.53,669,0,부산 남구 수영로 346 1층
쌈마이 닭쌈밥 대연점,음식점,별점 없음,875,0,부산 남구 용소로21번길 43-1 1층 쌈마이
노모어피자 경성부경대점,음식점,별점 없음,94,0,부산 남구 수영로322번길 22 2층 201호
아일라케밥,음식점,별점 없음,31,0,부산 남구 용소로28번길 8 1층
역전할머니맥주 부산경성부경대점,음식점,별점 없음,"1,104",0,부산 남구 용소로7번길 41
강인아구찜,음식점,별점 없음,92,0,"부산 남구 용소로7번길 63-4 1,2층 101,201호"
아미양곱창,음식점,4.87,"1,000",0,부산 남구 용소로13번길 84-2 1층 아미양곱창
호야 이자까야,음식점,별점 없음,287,0,부산 남구 용소로7번길 63-3
남포육개장,음식점,별점 없음,934,0,부산 남구 용소로13번길 62 102동 101호 남포육개장
발해,음식점,4.89,273,0,부산 남구 용소로34번길 25 1층
그라츠커피랩 경성대점,음식점,별점 없음,407,0,부산 남구 수영로 311-1 건물 전층 그라츠커피랩
골목,음식점,4.84,"1,256",0,부산 남구 용소로7번길 32-2 1층
크라운닭발 대연동점,음식점,별점 없음,374,0,부산 남구 용소로19번길 53 크라운닭발
별다른 돈까스,음식점,4.93,404,0,부산 남구 용소로21번길 91 1층 별다른돈까스
물레방아즉석구이,음식점,별점 없음,138,0,부산 남구 수영로358번길 7
스몰굿커피 부경대점,음식점,별점 없음,290,0,"부산 남구 용소로21번길 15-1 1, 2층"
칠칠켄터키 경성대점,음식점,별점 없음,301,0,부산 남구 용소로13번길 47
쾩 경성대점,음식점,별점 없음,571,0,부산 남구 용소로19번길 65 1층
대남 포장집,음식점,별점 없음,440,0,부산 남구 대연동 37-1
버거킹 부산경성대점,음식점,별점 없음,251,0,부산 남구 수영로 295
못,음식점,별점 없음,"1,126",0,부산 남구 수영로346번길 33 1층
와플대학 부산경성대캠퍼스,음식점,별점 없음,42,0,부산 남구 수영로 274-17 1층
OL'55,음식점,별점 없음,97,0,부산 남구 용소로19번길 26 지하1층 OL55(한은빌딩)
박가부대 부산경성대점,음식점,별점 없음,743,0,부산 남구 용소로8번길 6 박가부대찌개 경성대부경대점
돈카츠유마,음식점,별점 없음,557,0,부산 남구 용소로 56 1층 돈카츠유마
도련님숯불갈비 경성대본점,음식점,4.85,495,0,부산 남구 수영로322번길 32 1층
미효공방 경성대점,음식점,별점 없음,809,0,부산 남구 용소로19번길 41 1층
오디오디,음식점,4.81,"2,361",0,부산 남구 용소로 34 2층 odod
타보로,음식점,별점 없음,243,0,부산 남구 용소로 45 1층 동원장보고관
파스쿠찌 부산경성대점,음식점,별점 없음,"2,114",0,부산 남구 수영로 315 1~2층
BBQ치킨 부산경성대점,음식점,별점 없음,166,0,부산 남구 용소로7번길 35 1층
투썸플레이스 부산대남점,음식점,별점 없음,48,0,부산 남구 황령대로 486 1층
구르메,음식점,별점 없음,426,0,부산 남구 용소로13번길 61 101동 102호 구르메
다온스시&덮밥,음식점,별점 없음,"2,706",0,부산 남구 수영로334번길 6 1층
스위시 대연써밋점,음식점,별점 없음,31,0,부산 남구 황령대로 504 115동 1층 120호
파머스 경성대부경대점,음식점,별점 없음,12,0,부산 남구 수영로322번길 21 지하1층
아홉달,음식점,별점 없음,"1,129",0,부산 남구 수영로346번길 23 2층 아홉달
키위,음식점,별점 없음,293,0,부산 남구 수영로346번길 46 1층
푸드파라다이스,음식점,별점 없음,4,0,부산 남구 용소로34번길 25
케이찹사라다 경성부경대점,음식점,4.79,107,0,부산 남구 용소로13번길 91 1층
막창홀릭,음식점,별점 없음,64,0,부산 남구 수영로 274-23 우성빌딩
그레이핍플 부경대점,음식점,별점 없음,4,0,부산 남구 용소로13번길 62 103호 그레이핍플 부경대점
투썸플레이스 부산경성대역점,음식점,별점 없음,102,0,부산 남구 수영로 295 105호
프랭크버거 부산부경대점,음식점,별점 없음,"1,183",0,부산 남구 수영로 334 1층
BBQ치킨 부산부경대점,음식점,별점 없음,20,0,부산 남구 수영로366번길 31 2층
김소남연탄쪽갈비,음식점,별점 없음,309,0,부산 남구 용소로7번길 42 김소남연탄쪽갈비 1F
제일칼국수 남천점,음식점,4.83,"1,741",0,"부산 수영구 황령대로 491 1층 1-2호, 1-4호"
