name,category,star_rating,visitor_reviews,blog_reviews,address,latitude,longitude,distance_m
사랑각 부산경성대점,음식점,별점 없음,"1,085",0,부산 남구 용소로13번길 10 1층,35.1362880830305,129.101274706346,464.8
애착,음식점,4.92,"1,384",0,부산 남구 용소로19번길 22 1층 101호,35.1360504964215,129.101983514143,396.7
떡 뽑는 집 범앗간 대연본점,음식점,별점 없음,969,0,부산 남구 용소로 10 1층,35.1362955841407,129.100395321576,534.0
보배반점 대연점,음식점,별점 없음,"1,288",0,부산 남구 수영로298번길 10 1층 일부호(대연동),35.1362713595746,129.098964645135,650.1
"큰집돼지국밥,뼈다귀해장국",음식점,별점 없음,"1,099",0,"부산 남구 수영로266번길 132 (대연동) 큰집돼지국밥,뼈다귀해장국",35.13182635204,129.100968830376,481.7
도미노피자 용호남천점,음식점,4.53,669,0,부산 남구 수영로 346 1층,35.1386528784963,129.103394303984,553.5
쌈마이 닭쌈밥 대연점,음식점,별점 없음,875,0,부산 남구 용소로21번길 43-1 1층 쌈마이,35.1358068050637,129.103240988136,290.8
노모어피자 경성부경대점,음식점,별점 없음,94,0,부산 남구 수영로322번길 22 2층 201호,35.1367558140446,129.101652143729,468.8
아일라케밥,음식점,별점 없음,31,0,부산 남구 용소로28번길 8 1층,35.1350187852561,129.100345621911,486.8
역전할머니맥주 부산경성부경대점,음식점,별점 없음,"1,104",0,부산 남구 용소로7번길 41,35.1377627285725,129.102282711963,513.4
강인아구찜,음식점,별점 없음,92,0,"부산 남구 용소로7번길 63-4 1,2층 101,201호",35.1382101339946,129.103441382253,506.1
아미양곱창,음식점,4.87,"1,000",0,부산 남구 용소로13번길 84-2 1층 아미양곱창,35.1379449812259,129.104719504395,445.3
호야 이자까야,음식점,별점 없음,287,0,부산 남구 용소로7번길 63-3,35.1381754191099,129.103276483159,508.5
남포육개장,음식점,별점 없음,934,0,부산 남구 용소로13번길 62 102동 101호 남포육개장,35.1374567519118,129.10375362387,417.9
발해,음식점,4.89,273,0,부산 남구 용소로34번길 25 1층,35.1341018088966,129.099698652009,532.4
그라츠커피랩 경성대점,음식점,별점 없음,407,0,부산 남구 수영로 311-1 건물 전층 그라츠커피랩,35.137578688187,129.100034570859,640.5
골목,음식점,4.84,"1,256",0,부산 남구 용소로7번길 32-2 1층,35.1371891146584,129.102081795694,474.8
크라운닭발 대연동점,음식점,별점 없음,374,0,부산 남구 용소로19번길 53 크라운닭발,35.1369223205281,129.103341105686,382.2
별다른 돈까스,음식점,4.93,404,0,부산 남구 용소로21번길 91 1층 별다른돈까스,35.1371271934365,129.104718851787,356.0
물레방아즉석구이,음식점,별점 없음,138,0,부산 남구 수영로358번길 7,35.1391001946311,129.104879031112,570.6
칠칠켄터키 경성대점,음식점,별점 없음,301,0,부산 남구 용소로13번길 47,35.1373768223571,129.103058032167,438.8
쾩 경성대점,음식점,별점 없음,571,0,부산 남구 용소로19번길 65 1층,35.13715969509,129.103869831513,383.3
대남 포장집,음식점,별점 없음,440,0,부산 남구 대연동 37-1,35.1389392851933,129.106219636666,552.7
버거킹 부산경성대점,음식점,별점 없음,251,0,부산 남구 수영로 295,35.137014971474,129.098362610132,734.8
못,음식점,별점 없음,"1,126",0,부산 남구 수영로346번길 33 1층,35.1376273756957,129.104343056464,418.2
와플대학 부산경성대캠퍼스,음식점,별점 없음,42,0,부산 남구 수영로 274-17 1층,35.13543920164,129.097301408805,767.2
OL'55,음식점,별점 없음,97,0,부산 남구 용소로19번길 26 지하1층 OL55(한은빌딩),35.1360938192729,129.102156199062,386.8
박가부대 부산경성대점,음식점,별점 없음,743,0,부산 남구 용소로8번길 6 박가부대찌개 경성대부경대점,35.1365707701331,129.099934299339,585.4
돈카츠유마,음식점,별점 없음,557,0,부산 남구 용소로 56 1층 돈카츠유마,35.1323518536258,129.100971913628,454.9
도련님숯불갈비 경성대본점,음식점,4.85,495,0,부산 남구 수영로322번길 32 1층,35.1363852947585,129.101925315642,423.3
